sku,barcode,product_name,brand,category,subcategory,pack_size,unit,supplier,min_sell_price,notes,source_file,cost_price,sell_price,sell_price_credit
,,Coors Seltzer Slushie Green Apple (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.49,
,,Tiger Lager (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.59,
,,Red Stripe Lager (330 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,17.49,
,056327006010,Molson Canadian (710 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,4.87,
,062067335709,Budweiser (710 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,4.97,
,776029701685,James Ready 5.5 (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.61,
,056327007956,Coors Light (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,18.6,
,062067547539,Michelob Ultra (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,14.58,
,,Jameson Whiskey Lemonade (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.89,
,,White Claw Hard Seltzer Blackberry (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,White Claw Hard Seltzer Mango (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,White Claw Hard Seltzer Natural Lime (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Mike's Harder Strawberry 7% (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Mike's Harder Lemonade (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Mike's Harder Blue Freeze (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Twisted Tea Original (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Twisted Tea Peach (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Twisted Tea Extreme Lemon (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Black Fly Tequila Sunrise Cocktail (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Black Fly Vodka Crushed Black Cherry (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Black Fly Vodka Crushed Orange (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,056327019621,Arizona Hard Green Tea (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.39,
,056327017825,Arizona Hard Green Tea Lemon (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.39,
,,Smirnoff Ice Tall Can (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.19,
,,Black Fly Vodka Cranberry (4-pack pet bottles),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,11.99,
,056327023048,Molson Cold Shot Max 7.1% (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,2.99,
,,Black Fly Vodka Sour Raspberry (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Captain Morgan Mango Mai Tai (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,2.99,
,,Sun Cruiser Classic Iced Tea (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Rev PET (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,2.99,
,,Crown Royal Whisky & Cola (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,Cottage Springs Punched Up Pink Lemonade (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.59,
,,Flying Monkeys Velvet Bubble Lord Blueberry Sour (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.99,
,,White Claw Surge Passion Fruit (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.79,
,,White Claw Surge Blood Orange (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.79,
,056327024144,Coors Seltzer Grape (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.59,
,,Mott's Clamato Caesar Original (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.99,
,,Mott's Clamato Caesar Spicy (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.99,
,,NUTRL Vodka Soda Grape (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,NUTRL Vodka Soda Lemon (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.49,
,,NUTRL Vodka Soda Blackberry (473 ml),,grocery,Seltzers & More,,,,,,Scarbro Mart Inventory,,3.79,
,,Bask Crisp Rose (750 ml),,grocery,Wine,,,,,,Scarbro Mart Inventory,,13.99,
,,Honest Lot Cabernet Sauvignon (750 ml),,grocery,Wine,,,,,,Scarbro Mart Inventory,,13.99,
,,Jackson-Triggs Cabernet Sauvignon (750 ml),,grocery,Wine,,,,,,Scarbro Mart Inventory,,13.49,
,,Bodacious Smooth Red (750 ml),,grocery,Wine,,,,,,Scarbro Mart Inventory,,11.99,
,889392002676,Celcuis Electric Vibe 355ml,,grocery,Energy,,,,,,Scarbro Mart Inventory,,4.99,
,055000216500,Maison Perrier 330ml,,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.99,
,06748809,Powerade Melon Pineapple 710ml,,grocery,Sports,,,,,,Scarbro Mart Inventory,,2.99,
,898999000022,Vita Coco Coconut water 330ml,,grocery,Drinks,,,,,,Scarbro Mart Inventory,,2.49,
,643843714828,Premier Protein Vanilla 325ml,,grocery,Nutrition & Shakes,,,,,,Scarbro Mart Inventory,,3.31,
